POAM ID,Control,Title,Deployment profile,Status,Practices,Weakness / remaining work,Owner,Owner lane,Scheduled completion
OG-AU-001-air-gapped,OG-AU-001,Audit records are created for security-relevant operations and retained,air-gapped,Partially implemented,03.03.01,"PARTIAL for two measured reasons, not as a hedge. The middleware captures 18 hardcoded route templates (`SENSITIVE_OPERATIONS`) out of ~546 operations, and request/response bodies are never captured — `_get_request_body` is a documented no-op because reading the stream would consume it. Explicit `record_audit` writers cover ~38 further actions. No retention period is defined for `audit_logs` and nothing purges or archives it.",platform-security,hamad,2026-11-30
OG-AU-001-commercial-cloud,OG-AU-001,Audit records are created for security-relevant operations and retained,commercial-cloud,Partially implemented,03.03.01,"PARTIAL for two measured reasons, not as a hedge. The middleware captures 18 hardcoded route templates (`SENSITIVE_OPERATIONS`) out of ~546 operations, and request/response bodies are never captured — `_get_request_body` is a documented no-op because reading the stream would consume it. Explicit `record_audit` writers cover ~38 further actions. No retention period is defined for `audit_logs` and nothing purges or archives it.",platform-security,hamad,2026-11-30
OG-AU-001-gov-cloud,OG-AU-001,Audit records are created for security-relevant operations and retained,gov-cloud,Partially implemented,03.03.01,"PARTIAL for two measured reasons, not as a hedge. The middleware captures 18 hardcoded route templates (`SENSITIVE_OPERATIONS`) out of ~546 operations, and request/response bodies are never captured — `_get_request_body` is a documented no-op because reading the stream would consume it. Explicit `record_audit` writers cover ~38 further actions. No retention period is defined for `audit_logs` and nothing purges or archives it.",platform-security,hamad,2026-11-30
OG-AU-001-on-prem,OG-AU-001,Audit records are created for security-relevant operations and retained,on-prem,Partially implemented,03.03.01,"PARTIAL for two measured reasons, not as a hedge. The middleware captures 18 hardcoded route templates (`SENSITIVE_OPERATIONS`) out of ~546 operations, and request/response bodies are never captured — `_get_request_body` is a documented no-op because reading the stream would consume it. Explicit `record_audit` writers cover ~38 further actions. No retention period is defined for `audit_logs` and nothing purges or archives it.",platform-security,hamad,2026-11-30
OG-IR-001-air-gapped,OG-IR-001,"An incident handling capability exists — preparation, detection, analysis, containment, recovery",air-gapped,Partially implemented,03.06.01,"There are eleven runbooks, incident communication templates, and — unusually — a real worked incident: the 2026-08-15 supply-chain compromise is documented with IoCs, a restoration table, and a guard written afterwards to prevent the specific technique. That is stronger evidence of capability than an untested plan. It is PARTIAL for two reasons, and the second is uncomfortable: there is no formal Incident Response PLAN (the runbooks are recovery procedures, not a plan with roles, severity definitions and authority to declare), and **that incident is still open** — the credential used for the force-push was never identified, tokens are unrotated, and branch protection is unconfirmed. An open compromise with an unidentified credential is the first thing an assessor will read, and the date on this entry reflects that it should be closed before an assessment rather than after.",security-operations,unassigned,2026-11-30
OG-IR-001-commercial-cloud,OG-IR-001,"An incident handling capability exists — preparation, detection, analysis, containment, recovery",commercial-cloud,Partially implemented,03.06.01,"There are eleven runbooks, incident communication templates, and — unusually — a real worked incident: the 2026-08-15 supply-chain compromise is documented with IoCs, a restoration table, and a guard written afterwards to prevent the specific technique. That is stronger evidence of capability than an untested plan. It is PARTIAL for two reasons, and the second is uncomfortable: there is no formal Incident Response PLAN (the runbooks are recovery procedures, not a plan with roles, severity definitions and authority to declare), and **that incident is still open** — the credential used for the force-push was never identified, tokens are unrotated, and branch protection is unconfirmed. An open compromise with an unidentified credential is the first thing an assessor will read, and the date on this entry reflects that it should be closed before an assessment rather than after.",security-operations,unassigned,2026-11-30
OG-IR-001-gov-cloud,OG-IR-001,"An incident handling capability exists — preparation, detection, analysis, containment, recovery",gov-cloud,Partially implemented,03.06.01,"There are eleven runbooks, incident communication templates, and — unusually — a real worked incident: the 2026-08-15 supply-chain compromise is documented with IoCs, a restoration table, and a guard written afterwards to prevent the specific technique. That is stronger evidence of capability than an untested plan. It is PARTIAL for two reasons, and the second is uncomfortable: there is no formal Incident Response PLAN (the runbooks are recovery procedures, not a plan with roles, severity definitions and authority to declare), and **that incident is still open** — the credential used for the force-push was never identified, tokens are unrotated, and branch protection is unconfirmed. An open compromise with an unidentified credential is the first thing an assessor will read, and the date on this entry reflects that it should be closed before an assessment rather than after.",security-operations,unassigned,2026-11-30
OG-IR-001-on-prem,OG-IR-001,"An incident handling capability exists — preparation, detection, analysis, containment, recovery",on-prem,Partially implemented,03.06.01,"There are eleven runbooks, incident communication templates, and — unusually — a real worked incident: the 2026-08-15 supply-chain compromise is documented with IoCs, a restoration table, and a guard written afterwards to prevent the specific technique. That is stronger evidence of capability than an untested plan. It is PARTIAL for two reasons, and the second is uncomfortable: there is no formal Incident Response PLAN (the runbooks are recovery procedures, not a plan with roles, severity definitions and authority to declare), and **that incident is still open** — the credential used for the force-push was never identified, tokens are unrotated, and branch protection is unconfirmed. An open compromise with an unidentified credential is the first thing an assessor will read, and the date on this entry reflects that it should be closed before an assessment rather than after.",security-operations,unassigned,2026-11-30
OG-AC-004-air-gapped,OG-AC-004,Unsuccessful logon attempts are limited,air-gapped,Partially implemented,03.01.08,"Rate limiting is now REQUIRED in production — `validate_settings()` hard-fails at startup without it (FS-744), which closed a hole where production could run with the only brute-force control switched off and nothing would say so. Still PARTIAL because rate limiting is not lockout: there is no `failed_login_count`, no `locked_until`, and no progressive delay, so an attacker who paces below the limit is unbounded. 800-171 3.1.8 expects the account to lock.",platform-security,hamad,2026-12-31
OG-AC-004-commercial-cloud,OG-AC-004,Unsuccessful logon attempts are limited,commercial-cloud,Partially implemented,03.01.08,"Rate limiting is now REQUIRED in production — `validate_settings()` hard-fails at startup without it (FS-744), which closed a hole where production could run with the only brute-force control switched off and nothing would say so. Still PARTIAL because rate limiting is not lockout: there is no `failed_login_count`, no `locked_until`, and no progressive delay, so an attacker who paces below the limit is unbounded. 800-171 3.1.8 expects the account to lock.",platform-security,hamad,2026-12-31
